Offense Parent Group,Offense,Report DateTime,0
WEAPON LAW VIOLATIONS,Weapon Law Violations,2021,578
FRAUD OFFENSES,Impersonation,2011,572
ASSAULT OFFENSES,Simple Assault,2023,571
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2011,565
FRAUD OFFENSES,Wire Fraud,2021,560
BAD CHECKS,Bad Checks,2011,551
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2010,551
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2010,539
WEAPON LAW VIOLATIONS,Weapon Law Violations,2013,537
PROSTITUTION OFFENSES,Prostitution,2010,537
BAD CHECKS,Bad Checks,2012,523
WEAPON LAW VIOLATIONS,Weapon Law Violations,2012,517
BAD CHECKS,Bad Checks,2014,517
FRAUD OFFENSES,Wire Fraud,2020,505
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2009,499
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2017,494
WEAPON LAW VIOLATIONS,Weapon Law Violations,2014,492
BAD CHECKS,Bad Checks,2016,486
BAD CHECKS,Bad Checks,2017,483
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2008,480
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2018,469
BAD CHECKS,Bad Checks,2013,466
BAD CHECKS,Bad Checks,2015,460
FRAUD OFFENSES,Impersonation,2019,455
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2012,441
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2021,440
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2019,431
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2015,423
PROSTITUTION OFFENSES,Prostitution,2016,423
BAD CHECKS,Bad Checks,2018,418
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2009,418
PROSTITUTION OFFENSES,Prostitution,2011,410
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2008,394
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2016,386
FRAUD OFFENSES,Wire Fraud,2022,384
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2020,383
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2011,374
LARCENY-THEFT,Shoplifting,2023,368
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2013,367
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2014,365
PROSTITUTION OFFENSES,Prostitution,2017,363
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2013,362
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2021,357
LARCENY-THEFT,Pocket-picking,2009,356
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2010,353
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2008,350
ASSAULT OFFENSES,Intimidation,2023,347
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2016,346
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2009,341
ASSAULT OFFENSES,Aggravated Assault,2023,340
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2019,337
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2015,336
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2012,332
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2011,317
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2021,317
PROSTITUTION OFFENSES,Prostitution,2015,315
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2017,315
SEX OFFENSES,Fondling,2018,304
PROSTITUTION OFFENSES,Prostitution,2009,304
FRAUD OFFENSES,Wire Fraud,2018,296
SEX OFFENSES,Rape,2019,295
FRAUD OFFENSES,Wire Fraud,2019,282
PROSTITUTION OFFENSES,Prostitution,2014,280
PROSTITUTION OFFENSES,Prostitution,2008,273
SEX OFFENSES,Fondling,2019,270
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2010,259
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2008,257
LARCENY-THEFT,Pocket-picking,2014,256
SEX OFFENSES,Fondling,2017,254
LARCENY-THEFT,Pocket-picking,2008,247
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2014,247
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2013,246
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2011,245
LARCENY-THEFT,Pocket-picking,2019,242
FRAUD OFFENSES,Wire Fraud,2017,240
PROSTITUTION OFFENSES,Prostitution,2012,238
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2010,235
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2022,235
ARSON,Arson,2021,232
LARCENY-THEFT,Pocket-picking,2010,232
BAD CHECKS,Bad Checks,2019,229
LARCENY-THEFT,Pocket-picking,2013,228
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2009,225
LARCENY-THEFT,Theft From Building,2023,224
EMBEZZLEMENT,Embezzlement,2008,219
LARCENY-THEFT,Pocket-picking,2018,218
SEX OFFENSES,Fondling,2022,216
SEX OFFENSES,Rape,2018,214
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2016,213
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2012,211
SEX OFFENSES,Rape,2020,211
SEX OFFENSES,Fondling,2015,210
SEX OFFENSES,Fondling,2021,208
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2023,206
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2022,206
SEX OFFENSES,Fondling,2016,205
LARCENY-THEFT,Pocket-picking,2011,205
LARCENY-THEFT,Pocket-picking,2015,203
SEX OFFENSES,Fondling,2020,202
SEX OFFENSES,Rape,2021,201
SEX OFFENSES,Rape,2022,198
SEX OFFENSES,Fondling,2009,197
SEX OFFENSES,Rape,2016,196
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2017,196
PROSTITUTION OFFENSES,Prostitution,2013,195
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2014,194
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2011,193
SEX OFFENSES,Rape,2017,191
SEX OFFENSES,Fondling,2010,191
LARCENY-THEFT,Pocket-picking,2016,190
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2018,186
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2021,185
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2012,184
EMBEZZLEMENT,Embezzlement,2015,182
ROBBERY,Robbery,2023,182
ARSON,Arson,2022,181
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2015,180
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2023,178
EMBEZZLEMENT,Embezzlement,2009,177
LARCENY-THEFT,Pocket-picking,2017,177
LARCENY-THEFT,Pocket-picking,2012,174
SEX OFFENSES,Fondling,2011,172
FRAUD OFFENSES,Wire Fraud,2016,172
SEX OFFENSES,Fondling,2012,167
EMBEZZLEMENT,Embezzlement,2014,167
ARSON,Arson,2020,166
SEX OFFENSES,Fondling,2008,166
EMBEZZLEMENT,Embezzlement,2016,156
SEX OFFENSES,Fondling,2014,154
FRAUD OFFENSES,Wire Fraud,2015,151
ARSON,Arson,2017,150
ARSON,Arson,2009,148
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2013,148
FRAUD OFFENSES,Identity Theft,2023,147
SEX OFFENSES,Fondling,2013,143
EMBEZZLEMENT,Embezzlement,2017,143
EMBEZZLEMENT,Embezzlement,2010,138
EMBEZZLEMENT,Embezzlement,2013,138
EMBEZZLEMENT,Embezzlement,2012,133
PROSTITUTION OFFENSES,Prostitution,2019,132
SEX OFFENSES,Rape,2008,130
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2020,130
SEX OFFENSES,Rape,2014,127
EMBEZZLEMENT,Embezzlement,2011,127
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2014,125
FRAUD OFFENSES,Impersonation,2020,125
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2010,125
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2019,125
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2009,121
EMBEZZLEMENT,Embezzlement,2018,120
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2019,119
FRAUD OFFENSES,Impersonation,2021,117
SEX OFFENSES,Sodomy,2022,116
EXTORTION/BLACKMAIL,Extortion/Blackmail,2022,116
SEX OFFENSES,Rape,2012,115
EXTORTION/BLACKMAIL,Extortion/Blackmail,2021,113
