,,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,FRAUD OFFENSES,ROBBERY,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,"FAMILY OFFENSES, NONVIOLENT",DRIVING UNDER THE INFLUENCE,WEAPON LAW VIOLATIONS,SEX OFFENSES,BAD CHECKS,COUNTERFEITING/FORGERY,PROSTITUTION OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,LIQUOR LAW VIOLATIONS,CURFEW/LOITERING/VAGRANCY VIOLATIONS,ARSON,KIDNAPPING/ABDUCTION,PEEPING TOM,EXTORTION/BLACKMAIL,PORNOGRAPHY/OBSCENE MATERIAL,HOMICIDE OFFENSES,"SEX OFFENSES, CONSENSUAL",ANIMAL CRUELTY,HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,LARCENY-THEFT,BRIBERY
2,2019,0.06635071090047394,0.06437262854899908,0.06357684355616816,0.056376847907792536,0.07767831360092406,0.07138263665594856,0.08610117526826776,0.08307880268784362,0.16613418530351437,0.07670454545454546,0.05828220858895705,,0.10679611650485436,0.04377880184331797,0.008658008658008658,0.0752,0.0967741935483871,0.11594202898550725,0.08695652173913043,0.04504504504504504,0.06504065040650407,,0.031578947368421054,0.04,0.05263157894736842,0.2857142857142857,,,,,,
2,2020,0.08051670551670552,,0.06082907780114148,0.05888304330230676,,0.05708529214237743,0.12766768292682926,0.12562313060817548,0.18604651162790697,0.13026052104208416,0.08090614886731391,0.09341825902335456,0.10526315789473684,0.10752688172043011,0.4444444444444444,0.08387096774193549,0.11764705882352941,0.06896551724137931,0.043478260869565216,0.05263157894736842,0.1,0.13333333333333333,0.10476190476190476,0.10256410256410256,0.01818181818181818,,0.038461538461538464,0.1,,,,
2,2021,0.07058610052622029,0.08113610913162984,,0.070369675361231,0.07547169811320754,0.06902452937820878,0.06246575342465754,0.21119592875318066,0.08196721311475409,0.07171717171717172,0.050173010380622836,0.0455531453362256,0.07407407407407407,0.09836065573770492,0.02,0.0867430441898527,0.05555555555555555,,0.15384615384615385,,0.03804347826086957,,0.09821428571428571,0.08823529411764706,0.06976744186046512,0.125,,0.25,0.2,,,
2,2022,,0.09196861297022849,0.0865118850193477,,0.0690466849744998,0.08248009101251422,0.07816316560820713,0.07600596125186289,0.06666666666666667,0.08070714834742505,0.0774818401937046,0.06048387096774194,0.058823529411764705,0.09130434782608696,0.05555555555555555,,0.17073170731707318,,,0.06077348066298342,,,,0.08888888888888889,,,0.08108108108108109,0.16666666666666666,,,,
2,2023,0.29933665008291876,0.27539503386004516,0.2864721485411141,0.29814385150812067,0.24206349206349206,0.2833333333333333,0.33,0.367816091954023,0.4,0.3125,0.3170731707317073,0.3508771929824561,,0.2647058823529412,,0.27956989247311825,,,,0.3157894736842105,0.32142857142857145,0.5,,,0.2857142857142857,,0.3333333333333333,,,,,
3,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,
3,2000,,0.3333333333333333,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,
3,2001,,0.08333333333333333,,,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.14285714285714285,
3,2004,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2005,0.2,,,,,,,1.0,0.25,1.0,,,,0.2,,,,,,,,,,,,,,,,,0.08333333333333333,
3,2006,0.1111111111111111,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,
3,2007,,,0.015625,0.034482758620689655,,,,,0.029411764705882353,,,0.02857142857142857,0.03773584905660377,,,,0.0625,,,,,,,,,,,,,,0.018115942028985508,
3,2008,0.07975528364849833,0.0720377703320134,0.07536973833902162,0.07722308892355695,0.08109833971902937,0.06774580335731414,0.09055425448868072,,0.07554417413572344,0.05909943714821764,0.0847682119205298,0.04142011834319527,0.05874499332443257,0.06764705882352941,0.11,0.09541984732824428,,0.0737913486005089,0.06862745098039216,0.07058823529411765,0.05555555555555555,0.07692307692307693,0.14814814814814814,,0.06666666666666667,0.0625,,,,,,
3,2009,0.08099791185844599,0.07194679564691657,0.07686262181703866,0.060918187168922895,0.09156193895870736,,0.0947098976109215,0.09709821428571429,0.0889132821075741,0.07922392886014551,0.06467661691542288,0.0660377358490566,,0.10089020771513353,0.027522935779816515,0.07079646017699115,0.1144578313253012,,0.10743801652892562,0.10738255033557047,0.18518518518518517,,0.045454545454545456,0.2,0.047619047619047616,,,,,,,
3,2010,0.08034036910155819,0.08692952499223844,0.07923269391159299,0.09215686274509804,0.06188044457795134,0.08151791988756149,0.09098712446351931,0.09170153417015342,0.08788853161843516,0.08448540706605223,0.08777969018932874,0.08823529411764706,0.09067017082785808,0.0749063670411985,,0.07142857142857142,0.1111111111111111,0.06232294617563739,,0.044642857142857144,0.17391304347826086,0.1111111111111111,0.058823529411764705,0.09090909090909091,0.05263157894736842,0.06666666666666667,,,,,,
